model,dataset_size,feature_dim,batch_size,max_steps,clip_norm,noise_mult,learning_rate,samples,proofs,proof_size_kb,avg_proof_size_kb,prover_time_ms,clipping_time_ms,clipping_pct,noise_gen_time_ms,noise_gen_pct,noise_add_time_ms,noise_add_pct,weight_update_time_ms,weight_update_pct,aggregation_time_ms,aggregation_pct,other_time_ms,other_pct,verifier_time_ms,prover_verifier_ratio,prover_time_per_sample_ms,baseline_memory_mb,peak_memory_mb,final_memory_mb,memory_overhead_mb,epsilon,sampling_rate,wall_time_sec
logistic,500,16,10,50,10,1.0,0.1,0000000500,0000000200,00000003.488,00000001.367,0002000.78,0000030.28,01.51,0000039.49,01.97,0000039.47,01.97,0000025.25,01.26,0000974.09,48.69,0000892.20,44.59,0000011.22,0000178.28,0000004.00,00000162.352,00000174.488,00000174.488,00000012.137,0000000002.2605,00000000.020000,9
logistic,500,16,20,25,10,1.0,0.1,0000000500,0000000100,00000003.020,00000001.367,0001630.93,0000013.24,00.81,0000019.76,01.21,0000019.75,01.21,0000020.80,01.28,0000595.55,36.52,0000961.83,58.97,0000007.39,0000220.61,0000003.26,00000162.020,00000173.555,00000173.555,00000011.535,0000000003.0884,00000000.040000,8
logistic,500,16,30,17,10,1.0,0.1,0000000500,0000000068,00000003.488,00000001.367,0001368.58,0000010.62,00.78,0000014.63,01.07,0000014.62,01.07,0000009.41,00.69,0000400.48,29.26,0000918.82,67.14,0000009.88,0000138.48,0000002.74,00000161.699,00000173.281,00000173.281,00000011.582,0000000003.6647,00000000.060000,8
logistic,500,16,50,10,10,1.0,0.1,0000000500,0000000040,00000003.020,00000001.367,0001214.92,0000005.63,00.46,0000008.42,00.69,0000008.42,00.69,0000005.30,00.44,0000271.71,22.36,0000915.43,75.35,0000012.15,0000100.02,0000002.43,00000162.461,00000173.652,00000173.652,00000011.191,0000000004.4977,00000000.100000,8
logistic,1000,16,2,500,10,1.0,0.1,0000001000,0000002000,00000003.488,00000001.367,0012597.94,0000267.39,02.12,0000407.04,03.23,0000406.74,03.23,0000251.39,02.00,0009593.12,76.15,0001672.25,13.27,0000010.41,0001209.61,0000012.60,00000163.227,00000182.027,00000182.027,00000018.801,0000000001.2833,00000000.002000,19
logistic,1000,16,5,200,10,1.0,0.1,0000001000,0000000800,00000003.488,00000001.367,0005233.88,0000104.97,02.01,0000150.20,02.87,0000150.10,02.87,0000095.32,01.82,0003558.63,67.99,0001174.66,22.44,0000009.69,0000540.00,0000005.23,00000162.484,00000176.512,00000176.512,00000014.027,0000000001.6074,00000000.005000,11
logistic,1000,16,10,100,10,1.0,0.1,0000001000,0000000400,00000003.020,00000001.367,0003018.34,0000044.31,01.47,0000070.27,02.33,0000070.22,02.33,0000049.06,01.63,0001781.57,59.02,0001002.91,33.23,0000010.20,0000296.01,0000003.02,00000162.121,00000174.844,00000174.844,00000012.723,0000000001.9631,00000000.010000,8
logistic,1000,16,20,50,10,1.0,0.1,0000001000,0000000200,00000003.488,00000001.367,0001854.63,0000027.11,01.46,0000033.37,01.80,0000033.34,01.80,0000020.54,01.11,0000918.70,49.54,0000821.57,44.30,0000006.33,0000292.93,0000001.85,00000162.027,00000174.043,00000174.043,00000012.016,0000000002.4707,00000000.020000,8
logistic,1000,16,30,34,10,1.0,0.1,0000001000,0000000136,00000003.020,00000001.367,0001611.61,0000016.65,01.03,0000030.80,01.91,0000030.76,01.91,0000014.03,00.87,0000604.41,37.50,0000914.97,56.77,0000008.56,0000188.17,0000001.61,00000162.375,00000173.562,00000173.562,00000011.188,0000000002.9042,00000000.030000,7
logistic,1000,16,50,20,10,1.0,0.1,0000001000,0000000080,00000003.488,00000001.367,0001274.81,0000009.95,00.78,0000012.73,01.00,0000012.72,01.00,0000007.73,00.61,0000413.59,32.44,0000818.09,64.17,0000016.07,0000079.35,0000001.27,00000162.621,00000174.105,00000174.105,00000011.484,0000000003.6661,00000000.050000,6
logistic,2000,16,2,1000,10,1.0,0.1,0000002000,0000004000,00000003.020,00000001.367,0022647.25,0000487.11,02.15,0000755.67,03.34,0000755.15,03.33,0000441.01,01.95,0017684.39,78.09,0002523.92,11.14,0000017.11,0001323.50,0000011.32,00000163.074,00000190.320,00000190.320,00000027.246,0000000001.2417,00000000.001000,28
logistic,2000,16,5,400,10,1.0,0.1,0000002000,0000001600,00000003.020,00000001.367,0009719.77,0000230.50,02.37,0000302.91,03.12,0000302.73,03.11,0000182.47,01.88,0007084.74,72.89,0001616.42,16.63,0000018.87,0000515.22,0000004.86,00000162.578,00000179.738,00000179.738,00000017.160,0000000001.5436,00000000.002500,15
logistic,2000,16,10,200,10,1.0,0.1,0000002000,0000000800,00000003.488,00000001.367,0005132.39,0000100.95,01.97,0000141.19,02.75,0000141.09,02.75,0000090.12,01.76,0003519.24,68.57,0001139.79,22.21,0000008.62,0000595.15,0000002.57,00000162.812,00000176.828,00000176.828,00000014.016,0000000001.7596,00000000.005000,11
logistic,2000,16,20,100,10,1.0,0.1,0000002000,0000000400,00000003.020,00000001.367,0002946.71,0000047.05,01.60,0000065.21,02.21,0000065.16,02.21,0000039.92,01.35,0001785.63,60.60,0000943.74,32.03,0000014.05,0000209.69,0000001.47,00000162.828,00000175.293,00000175.293,00000012.465,0000000002.1324,00000000.010000,9
logistic,2000,16,30,67,10,1.0,0.1,0000002000,0000000268,00000003.020,00000001.367,0002395.47,0000030.28,01.26,0000044.94,01.88,0000044.91,01.87,0000029.77,01.24,0001249.09,52.14,0000996.47,41.60,0000008.74,0000274.03,0000001.20,00000162.262,00000174.816,00000174.816,00000012.555,0000000002.4243,00000000.015000,8
logistic,2000,16,50,40,10,1.0,0.1,0000002000,0000000160,00000003.020,00000001.367,0001823.41,0000017.13,00.94,0000028.35,01.55,0000028.33,01.55,0000016.89,00.93,0000656.95,36.03,0001075.77,59.00,0000008.86,0000205.87,0000000.91,00000162.848,00000174.070,00000174.070,00000011.223,0000000002.9634,00000000.025000,7
